,flag_forest500,forest500_total_score,permid
0,,,8589934296
1,,,4295859071
2,,,4295857388
3,1.0,28.475,5083687566
4,,,4296075611
5,,,4295856631
6,,,4295856963
7,,,4295857695
8,,,4295856855
9,,,4295857514
10,,,5066577142
11,,,4295857116
12,,,4295857172
13,,,4295857423
14,,,4296631426
15,,,4295856807
16,,,4295858622
17,,,4295858616
18,,,4295856734
19,,,4295856238
20,,,4295858070
21,,,5043128493
22,,,4295857466
23,,,5000042116
24,,,4295856965
25,,,4295856256
26,,,5035081624
27,,,5047641624
28,,,4295857467
29,,,5037652522
30,,,4295857398
31,,,4298537832
32,,,4295859313
33,,,4295859236
34,,,5000062813
35,,,4295859347
36,,,4295859517
37,,,4295912518
38,,,5000033016
39,,,4295911983
40,,,4298355786
41,,,4298068046
42,1.0,19.233,4295859896
43,,,5038060075
44,,,4295860047
45,,,4295859955
46,,,4296394222
47,,,4295860016
48,,,4295860312
49,,,5044510870
50,,,4297927148
51,,,4295859847
52,,,5069412925
53,,,4295860134
54,,,5001310980
55,,,4295859895
56,1.0,72.5,4295860372
57,,,5000199270
58,,,4295860267
59,,,4295859975
60,,,4295859789
61,,,5087096947
62,,,4295863289
63,,,4295860591
64,,,5071533245
65,,,5073777894
66,,,4295860622
67,,,4295861259
68,,,4295860405
69,,,4295862641
70,,,4295861824
71,,,5037849099
72,,,5037087415
73,,,4295861298
74,,,4295862177
75,,,5046039803
76,,,4295861818
77,,,4295863147
78,,,5059040572
79,,,4295860615
80,,,5046709166
81,,,4295862164
82,,,5067495779
83,,,4295862990
84,,,4295862452
85,,,4295860619
86,,,5000000011
87,1.0,3.008,4295862758
88,,,4295860645
89,,,4295862531
90,,,5059998878
91,,,4295862149
92,,,5064654401
93,1.0,1.0,4295860768
94,,,4295861397
95,,,4295862027
96,1.0,20.25,5043951565
97,,,4295861153
98,,,4295860741
99,,,5001433891
100,1.0,2.5,4295861241
101,,,4295861718
102,,,5035151221
103,,,4295861160
104,,,4295861389
105,,,5040932239
106,,,5050998097
107,,,5081177311
108,,,4295862991
109,,,4295890694
110,,,4295890615
111,1.0,45.281,4295890660
112,,,4295890655
113,,,4295890924
114,,,4295890628
115,,,4295890594
116,,,4295890511
117,,,4295890743
118,,,4295890627
119,,,4295890764
120,,,4295890673
121,,,4295890944
122,,,4295890779
123,,,5000073739
124,,,4295890631
125,,,4295890664
126,,,4295890536
127,,,4295890739
128,1.0,,4295890634
129,,,5000709065
130,,,4295901889
131,,,4295913863
132,,,5001738799
133,,,5036198012
134,,,5036383104
135,,,4295890532
136,1.0,23.987,5043337560
137,,,5050658104
138,,,4295890584
139,,,4295890966
140,,,5000059118
141,,,5083481739
142,,,4295890647
143,1.0,10.2,4295863527
144,,,4295863334
145,,,5050705971
146,,,4295863540
147,,,4295863439
148,,,4295863513
149,,,4295863358
150,,,4295863430
151,,,4295865713
152,,,4295865759
153,,,4295865863
154,,,4297301555
155,1.0,45.456,4295869482
156,,,4295870093
157,,,4295869983
158,,,5001439044
159,,,4295869203
160,,,5050710924
161,,,5000010681
162,,,4295870111
163,,,4295868979
164,,,4295869315
165,1.0,12.044,4295870171
166,,,4295868986
167,,,5046707762
168,,,5059963032
169,,,5063761614
170,,,5057957727
171,,,4295869167
172,,,5038054895
173,,,4296750143
174,,,5043464296
175,,,4295866057
176,,,4295865965
177,,,4295866092
178,,,5001189472
179,,,4295866111
180,,,4295865868
181,,,4295866001
182,,,5044623340
183,,,5000724903
184,,,4295889577
185,1.0,16.523,8589934205
186,,,4295889287
187,,,4295889572
188,1.0,18.2,4295889432
189,,,4295889547
190,,,4295889513
191,,,4295866517
192,,,4295866556
193,,,5000040066
194,,,4295866401
195,,,4295866566
196,1.0,29.998,5060588378
197,,,4295868250
198,1.0,,8589934312
199,,,4295866721
200,,,4295868440
201,,,4295867087
202,1.0,29.75,4295866751
203,1.0,,4295867384
204,,,4295866829
205,,,4295867226
206,,,4295867940
207,,,4295866614
208,,,4295867261
209,,,4295866885
210,,,4295866923
211,,,4295866940
212,,,4295867473
213,1.0,20.417,4295867362
214,,,4298431423
215,,,4295867220
216,,,4295867188
217,,,4295867230
218,,,4295866610
219,,,4295868416
220,,,5000034874
221,,,4295867415
222,,,4295867555
223,,,4295866806
224,,,4295868520
225,,,4295868617
226,,,4295868297
227,,,5000759495
228,,,4296992313
229,,,5000073706
230,,,4296496298
231,,,5037433929
232,,,4295867357
233,,,4295867367
234,,,4295898060
235,,,4295894951
236,,,4295894791
237,1.0,34.108,8589934275
238,1.0,22.469,4295894968
239,,,4295894824
240,,,4295898928
241,,,4295894483
242,,,4295895197
243,,,4295894341
244,,,4295895409
245,,,4295896316
246,,,4295897734
247,,,4295895761
248,1.0,39.357,4295895853
249,1.0,44.739,4295895145
250,,,4295897802
251,,,4295894725
252,,,4295894970
253,,,4295894497
254,,,4295897408
255,1.0,63.964,4295894770
256,,,4295896619
257,,,4295894799
258,,,4295894303
259,,,4295895196
260,,,4295895807
261,1.0,28.625,4295894769
262,,,5000039682
263,,,4295895174
264,,,5033562382
265,,,4295898763
266,,,4295895403
267,,,5046625212
268,1.0,20.653,4295897744
269,,,4295894762
270,,,5021764927
271,,,5080166826
272,1.0,40.525,4295895258
273,,,4295893899
274,,,4295894669
275,,,5044095778
276,,,5081488120
277,1.0,32.2,4295895781
278,1.0,58.5,4295895179
279,,,5045390794
280,,,4295895028
281,,,4295870369
282,,,4295870479
283,,,4295870482
284,,,8589934297
285,,,4295870463
286,,,4295870773
287,,,4295870585
288,,,4295872091
289,,,4295872083
290,,,4295874561
291,1.0,17.586,4295874338
292,,,4295874388
293,1.0,10.176,4295874492
294,,,4295874596
295,1.0,16.167,4295874754
296,,,5000715289
297,1.0,9.078,4295874766
298,,,4295874370
299,,,4298130680
300,,,4298117011
301,,,4295874502
302,,,5045048842
303,,,4295874865
304,,,4295874927
305,,,4295874828
306,,,4295874981
307,,,4295903017
308,,,4297329846
309,,,5037629126
310,,,5056415510
311,,,4295899509
312,,,5059082241
313,,,5040047599
314,,,5000668795
315,,,5080057609
316,,,5073798739
317,,,5040925358
318,,,5043331632
319,,,4295873661
